Horizonte,Modelo,MAE,RMSE,R2,sMAPE
D+1,Ridge,144.1824951571146,187.8583261634625,-0.3779881537874081,16.182165777937122
D+1,Extra Trees,144.3724431550807,182.9579385607001,-0.3070346584599785,15.93000350442783
D+1,Random Forest,148.73588477980672,193.2008489125862,-0.4574801476473762,16.35309189496706
D+1,Baseline ingênuo,157.43478260869566,209.53768987526053,-0.7143871007933942,16.81317791283536
D+1,Regressão Linear,183.84158026325903,229.44958078831695,-1.0556971054613822,21.72833049909991
D+1,HistGradientBoosting,213.15946392386488,261.5267232882522,-1.6706485033050091,24.248556726357997
D+7,Random Forest,146.5943344012908,198.97581498368243,-0.4809436035485641,16.080192247293994
D+7,Extra Trees,157.15734772440862,209.12892289631228,-0.6359353509967782,17.506360553901505
D+7,HistGradientBoosting,160.44844141166,207.4377104946929,-0.6095829269101287,17.933010406303236
D+7,Ridge,179.29582270655703,236.90795692129035,-1.0994098511088837,20.5814656324897
D+7,Baseline ingênuo,182.22727272727272,229.90205424365948,-0.977077253616916,19.434337200837863
D+7,Regressão Linear,202.17987660100505,265.6318990258042,-1.639358538205348,24.32929437815915
