feature,importancia
volume_total,0.1705173577882164
std_movel_7d,0.1002816985307348
dia_5,0.0918436387325398
volume_lag_1,0.0695493017204253
dia_4,0.0563598850481185
volume_manual,0.0490585487737596
volume_lag_7,0.0462516327128434
media_movel_3d,0.0460361008924569
dia_1,0.0431748030232304
volume_p3,0.0410011913949637
volume_kpi,0.0363107213849512
dia_6,0.0342405053620711
media_movel_7d,0.0340446255150688
volume_p2,0.0306395778450687
volume_lag_2,0.0295605099176089
variacao_pct_1d,0.025911362555519
dia_3,0.0249527139997988
volume_lag_3,0.0240960100057331
variacao_1d,0.0220180900273607
fim_de_semana,0.0136755329860666
dia_2,0.0104761917834636
