feature,importancia
volume_total,0.3240515499438583
volume_lag_7,0.0920947635503987
std_movel_7d,0.0874181292752992
volume_kpi,0.0845544192956711
volume_lag_1,0.0570713661933566
media_movel_3d,0.0440455600871389
volume_p3,0.0390417004965324
volume_p2,0.0389395474875492
volume_manual,0.0339930557023193
media_movel_7d,0.0317527797357945
dia_5,0.0285600380129141
volume_lag_3,0.0221908984176033
dia_1,0.0217956135422061
volume_lag_2,0.0212750253446386
dia_3,0.0180073612707943
dia_6,0.015975005202539
variacao_1d,0.0140516227105597
variacao_pct_1d,0.0135889419513314
dia_4,0.0096415321698517
dia_2,0.0016142249342567
fim_de_semana,0.000336864675386
