data,volume,tipo
2025-09-01,874.0,Histórico
2025-09-02,1153.0,Histórico
2025-09-03,1073.0,Histórico
2025-09-04,1280.0,Histórico
2025-09-05,1030.0,Histórico
2025-09-06,455.0,Histórico
2025-09-07,369.0,Histórico
2025-09-08,511.0,Histórico
2025-09-09,602.0,Histórico
2025-09-10,678.0,Histórico
2025-09-11,522.0,Histórico
2025-09-12,635.0,Histórico
2025-09-13,566.0,Histórico
2025-09-14,492.0,Histórico
2025-09-15,673.0,Histórico
2025-09-16,597.0,Histórico
2025-09-17,593.0,Histórico
2025-09-18,600.0,Histórico
2025-09-19,679.0,Histórico
2025-09-20,717.0,Histórico
2025-09-21,681.0,Histórico
2025-09-22,1431.0,Histórico
2025-09-23,893.0,Histórico
2025-09-24,674.0,Histórico
2025-09-25,628.0,Histórico
2025-09-26,654.0,Histórico
2025-09-27,564.0,Histórico
2025-09-28,505.0,Histórico
2025-09-29,659.0,Histórico
2025-09-30,773.0,Histórico
2025-10-01,733.0,Histórico
2025-10-02,885.0,Histórico
2025-10-03,1063.0,Histórico
2025-10-04,740.0,Histórico
2025-10-05,553.0,Histórico
2025-10-06,723.0,Histórico
2025-10-07,1098.0,Histórico
2025-10-08,999.0,Histórico
2025-10-09,1074.0,Histórico
2025-10-10,1049.0,Histórico
2025-10-11,540.0,Histórico
2025-10-12,499.0,Histórico
2025-10-13,627.0,Histórico
2025-10-14,777.0,Histórico
2025-10-15,709.0,Histórico
2025-10-16,936.0,Histórico
2025-10-17,533.0,Histórico
2025-10-18,615.0,Histórico
2025-10-19,531.0,Histórico
2025-10-20,592.0,Histórico
2025-10-21,711.0,Histórico
2025-10-22,857.0,Histórico
2025-10-23,756.0,Histórico
2025-10-24,1022.0,Histórico
2025-10-25,599.0,Histórico
2025-10-26,546.0,Histórico
2025-10-27,568.0,Histórico
2025-10-28,678.0,Histórico
2025-10-29,616.0,Histórico
2025-10-30,624.0,Histórico
2025-10-31,764.0,Histórico
2025-11-01,574.0,Histórico
2025-11-02,556.0,Histórico
2025-11-03,564.0,Histórico
2025-11-04,546.0,Histórico
2025-11-05,1273.0,Histórico
2025-11-06,529.0,Histórico
2025-11-07,630.0,Histórico
2025-11-08,590.0,Histórico
2025-11-09,519.0,Histórico
2025-11-10,665.0,Histórico
2025-11-11,627.0,Histórico
2025-11-12,692.0,Histórico
2025-11-13,621.0,Histórico
2025-11-14,583.0,Histórico
2025-11-15,546.0,Histórico
2025-11-16,538.0,Histórico
2025-11-17,764.0,Histórico
2025-11-18,774.0,Histórico
2025-11-19,713.0,Histórico
2025-11-20,816.0,Histórico
2025-11-21,920.0,Histórico
2025-11-22,892.0,Histórico
2025-11-23,874.0,Histórico
2025-11-24,934.0,Histórico
2025-11-25,756.0,Histórico
2025-11-26,905.0,Histórico
2025-11-27,771.0,Histórico
2025-11-28,824.0,Histórico
2025-11-29,721.0,Histórico
2025-11-30,807.0,Histórico
2025-12-01,998.0,Histórico
2025-12-02,782.0,Histórico
2025-12-03,729.0,Histórico
2025-12-04,744.0,Histórico
2025-12-05,872.0,Histórico
2025-12-06,751.0,Histórico
2025-12-07,738.0,Histórico
2025-12-08,772.0,Histórico
2025-12-09,881.0,Histórico
2025-12-10,801.0,Histórico
2025-12-11,741.0,Histórico
2025-12-12,727.0,Histórico
2025-12-13,761.0,Histórico
2025-12-14,695.0,Histórico
2025-12-15,863.0,Histórico
2025-12-16,1076.0,Histórico
2025-12-17,1025.0,Histórico
2025-12-18,1005.0,Histórico
2025-12-19,839.0,Histórico
2025-12-20,984.0,Histórico
2025-12-21,1104.0,Histórico
2025-12-22,1370.0,Histórico
2025-12-23,1122.0,Histórico
2025-12-24,929.0,Histórico
2025-12-25,704.0,Histórico
2025-12-26,910.0,Histórico
2025-12-27,1027.0,Histórico
2025-12-28,829.0,Histórico
2025-12-29,921.0,Histórico
2025-12-30,866.0,Histórico
2025-12-31,755.0,Histórico
2026-01-01,857.5,Previsão
2026-01-02,817.2,Previsão
2026-01-03,752.2,Previsão
2026-01-04,893.0,Previsão
2026-01-05,905.8,Previsão
2026-01-06,907.4,Previsão
2026-01-07,871.4,Previsão
